DATE,FRSHTT,PRCP,PRCP_ATTRIBUTES,TEMP_ATTRIBUTES,TEMP,MAX_ATTRIBUTES,MIN_ATTRIBUTES,MAX,MIN,AVG_TEMP
1956/8/20,0,0,I,4,73, , ,84,57,70.5
1956/8/21,0,0,I,4,72.7, , ,82,61,71.5
1956/8/24,10000,0.12,G,4,64, ,*,72,61,66.5
1956/8/25,0,0.63,G,4,64.5, , ,75,59,67
1956/8/26,0,0,G,4,66, , ,75,55,65
1956/8/27,0,0,I,4,66.5, , ,75,55,65
1956/8/29,0,0,I,4,73, , ,82,61,71.5
1956/8/31,10000,0.05,B,4,64.5, ,*,73,59,66
1956/9/1,0,0.02,A,4,68.8, , ,79,57,68
1956/9/2,0,0,I,4,69.8, , ,81,61,71
1956/9/3,0,0.08,A,4,73.8, , ,84,63,73.5
1956/9/4,10000,1.18,B,4,70.3, , ,77,66,71.5
1956/9/5,10000,0.2,D,4,61, , ,68,59,63.5
1956/9/6,10000,0.1,B,4,63.5, , ,73,57,65
1956/9/7,0,0.04,A,4,63.3, ,*,75,55,65
1956/9/8,10110,0.12,A,4,61.2, , ,77,54,65.5
1956/9/10,10000,0.06,B,4,61.7,*, ,66,59,62.5
1956/9/12,10000,0.39,G,4,57.7,*, ,63,54,58.5
1956/9/13,0,0.2,G,4,57, ,*,66,52,59
1956/9/14,10000,0,G,4,60, , ,72,50,61
1956/9/15,0,0.08,G,4,65.5, , ,79,48,63.5
1956/9/16,0,0,G,4,69, , ,81,54,67.5
1956/9/19,100000,0,I,4,50, , ,61,41,51
1956/9/20,0,0,I,4,57.7, , ,72,39,55.5
1956/9/21,0,0,I,4,61.7, , ,77,48,62.5
1956/9/22,0,0,I,4,66, , ,79,48,63.5
1956/9/23,10000,0.02,A,4,67, , ,75,59,67
1956/9/24,0,0.39,G,4,56,*,*,66,45,55.5
1956/9/25,0,0.01,G,4,47.3, , ,55,41,48
1956/9/26,0,0.01,G,4,43.2, ,*,54,36,45
1956/9/27,0,0,G,4,46.8, , ,59,34,46.5
1956/9/28,0,0,I,4,47.8, , ,63,34,48.5
1956/9/30,110000,0.16,G,4,58.5, , ,64,54,59
1956/10/1,110000,0.24,G,4,60.5, , ,70,52,61
1956/10/3,0,0.63,G,4,48.7, , ,59,34,46.5
1956/10/4,0,0,G,4,50.5, , ,64,41,52.5
1956/10/5,0,0,I,4,51.5, , ,64,41,52.5
1956/10/6,0,0,I,4,57.7, , ,72,41,56.5
1956/10/8,10,0.01,A,4,52, ,*,63,45,54
1956/10/12,10000,0.07,C,4,50, , ,59,28,43.5
1956/10/13,10000,0.06,B,4,41.5, ,*,52,32,42
1956/10/14,0,0,I,4,41.8, , ,55,28,41.5
1956/10/15,0,0,I,4,47.7, , ,61,36,48.5
1956/10/17,0,0,I,4,51, ,*,61,43,52
1956/10/18,11000,0.16,G,4,23, ,*,43,16,29.5
1956/10/21,0,0,I,4,49.5, ,*,59,43,51
1956/10/23,100000,0,I,4,34.7, ,*,46,27,36.5
1956/10/24,0,0,I,4,35.5, , ,48,27,37.5
1956/10/25,0,0,I,4,37.8, , ,50,27,38.5
1956/10/26,0,0,I,4,38.8, , ,52,30,41
1956/10/28,10000,0.02,A,4,48.5, , ,55,45,50
1956/10/29,110000,0.16,G,4,44.7, , ,50,41,45.5
1956/10/30,10000,0.08,G,4,36.5, ,*,50,32,41
1956/11/1,0,0,I,6,33.2,*, ,37,28,32.5
1956/11/2,0,0,I,7,46.9, , ,55,28,41.5
1956/11/3,0,0,I,6,28.2,*,*,32,25,28.5
1956/11/4,0,0,I,5,25.8,*,*,30,21,25.5
1956/11/5,1000,0.06,C,7,22, ,*,28,18,23
1956/11/6,1000,0.06,C,7,17.6, ,*,25,10,17.5
1956/11/7,101000,0.06,B,7,20.7, ,*,28,10,19
1956/11/8,0,0,I,7,14.7, ,*,23,5,14
1956/11/9,0,0,I,5,14.6,*, ,21,5,13
1956/11/10,0,0,I,6,15.9, , ,28,5,16.5
1956/11/11,1000,0.08,D,7,18.6, , ,21,10,15.5
1956/11/12,1000,0.07,C,5,19.8,*, ,23,12,17.5
1956/11/13,1000,0.01,A,6,23.7,*, ,28,14,21
1956/11/14,1000,0.05,C,7,10, ,*,21,1,11
1956/11/15,0,0,I,6,4.2, ,*,12,0,6
1956/11/16,0,0,I,5,7.4, , ,14,0,7
1956/11/17,0,0,I,6,11.5, , ,19,0,9.5
1956/11/18,0,0,I,6,12.6,*,*,18,3,10.5
1956/11/19,1000,0.02,A,6,14.8, , ,25,0,12.5
1956/11/20,0,0.02,A,7,9.4, ,*,19,1,10
1956/11/21,0,0,I,7,12, , ,21,0,10.5
1956/11/22,10000,0.02,A,6,9.5, ,*,19,0,9.5
1956/11/23,0,0,I,7,10, , ,21,0,10.5
1956/11/24,0,0,I,5,17.8,*, ,25,1,13
1956/11/25,1000,0.08,A,6,21.1, ,*,30,9,19.5
1956/11/26,1000,0.07,C,7,3, ,*,18,-6,6
1956/11/27,0,0,I,7,1.7, ,*,14,-8,3
1956/11/28,0,0,I,6,2.5,*, ,9,-8,0.5
1956/11/29,0,0,I,6,3.8, ,*,18,0,9
